p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
4.660228919135232e-63,0.6680910756654266,0.92,0.859,9.538556551685992e-59,S100a10
1.4144768489587064e-62,3.4079091847995238,0.131,0.013,2.8951512144486804e-58,Itga10
1.5627169754424402e-62,0.6524193234689093,0.87,0.728,3.1985691053355865e-58,Nfix
8.446280354223072e-62,2.5203636797639937,0.179,0.034,1.7287846629023785e-57,Erg
8.597406067882961e-62,-0.4974258317051281,0.951,0.963,1.7597170739742845e-57,Rbm3
1.8563092007570213e-61,0.27977567970960227,0.996,0.996,3.799493672109471e-57,mt-Nd1
2.09928547634078e-61,1.3083179528174722,0.529,0.288,4.2968175129743083e-57,Sdc4
5.400024722876535e-61,-0.4620784265082727,0.901,0.948,1.1052770602783692e-56,Morf4l2
6.842440628569436e-61,1.6354886664853105,0.576,0.358,1.4005107478555923e-56,Rbp4
7.840642885311824e-61,2.5327293796567507,0.189,0.04,1.604822785765624e-56,Ptprj
1.5780554622418553e-60,0.8961760213773795,0.676,0.429,3.2299639201166293e-56,Ssc5d
1.6337043715677595e-60,1.4423520605869156,0.432,0.209,3.3438661077248903e-56,Ecm2
4.3721301073593867e-60,1.2752622810879382,0.445,0.213,8.948875903743193e-56,H2-D1
4.7406886740966866e-60,0.3031744405243795,0.995,0.988,9.703241578141098e-56,Rpl38
5.807592316189532e-60,1.993822550187166,0.254,0.076,1.1886979952776733e-55,Cdh13
6.105335840867982e-60,-1.205384249844817,0.21,0.472,1.2496401399088586e-55,Hmgn2
1.6351113126534545e-59,-1.2982434347387317,0.436,0.676,3.346745834739091e-55,Acta2
2.393827368900217e-59,-1.4857720403149197,0.197,0.446,4.899685858664964e-55,Phldb2
4.424404186076026e-59,2.933600421954784,0.169,0.032,9.055870488060411e-55,Mustn1
6.018673328670252e-59,-0.8936175227579384,0.783,0.912,1.2319020569122272e-54,Tnc
6.783763909654217e-59,-1.0838992280649482,0.292,0.548,1.3885007970280253e-54,Hacd1
9.638270398956282e-59,2.069062636498379,0.22,0.057,1.9727611852583718e-54,Reck
1.196119108114588e-58,1.519748097039464,0.324,0.121,2.4482165904889386e-54,Ctsf
2.0196352295846682e-58,-1.4314449251418346,0.188,0.436,4.133789387913899e-54,Glipr2
2.438032217256004e-58,-0.5083595648064094,0.881,0.93,4.990164342279589e-54,Tmed9
2.6746989743219305e-58,0.8846581377794155,0.639,0.39,5.474573860642127e-54,Fxyd1
2.806673589001772e-58,-0.9450660400024055,0.359,0.617,5.744699501968827e-54,Ccn4
2.8497311945856453e-58,-0.5414557574423831,0.969,0.991,5.832829809077899e-54,Cd63
1.0331390497276922e-57,3.494791214235478,0.122,0.012,2.1146290069826403e-53,Efhd1
1.4864119899059366e-57,-0.7441295997688775,0.54,0.741,3.042388060939471e-53,Uqcr11
2.3905970796688706e-57,1.9141420596710343,0.293,0.105,4.8930741026662445e-53,Clec3b
2.5654186411288155e-57,-1.0493641981013848,0.457,0.671,5.25089887466246e-53,H2afz
2.713444174804257e-57,0.6575461461449785,0.835,0.666,5.5538775369893535e-53,Lrp1
3.654496256469376e-57,3.3187486270741706,0.138,0.019,7.480022937741519e-53,Hapln1
4.0767203756531803e-57,1.5176655072018639,0.305,0.109,8.34423126488693e-53,Card19
8.190017126147104e-57,-1.5096880924393858,0.244,0.487,1.6763327053797895e-52,Col5a3
1.240712087786724e-56,-0.6992630817410777,0.545,0.773,2.5394895012818666e-52,Tgfbi
1.375946942797815e-56,2.4208749048230858,0.207,0.053,2.8162882025185675e-52,Enpp2
1.536402935622017e-56,1.921447796781155,0.284,0.1,3.1447095286311444e-52,Tsc22d3
2.380559313763526e-56,1.4528334504043814,0.366,0.158,4.8725288034111846e-52,Cd109
2.5071497219583766e-56,2.7822650073081796,0.143,0.021,5.131634050904405e-52,Chrd
2.983479212940547e-56,-0.9282255181742338,0.331,0.59,6.106585253046712e-52,Pbx1
4.820549137635381e-56,3.948768402780667,0.141,0.021,9.866699974912098e-52,Penk
1.218178797289774e-55,-1.4700879826220037,0.164,0.404,2.4933683622927093e-51,Runx1t1
1.633694800416487e-55,3.510979077900366,0.15,0.026,3.3438465174924656e-51,Eno3
1.713468206219749e-55,-0.7476587672078814,0.27,0.537,3.5071267244905824e-51,Col27a1
2.2442774083648282e-55,-0.48380187568906446,0.862,0.925,4.59358699944113e-51,Swi5
3.0263237538855047e-55,-0.9164229015474634,0.422,0.652,6.194279459452851e-51,Flna
5.326424336953308e-55,0.9615696850037564,0.6,0.38,1.0902125332876032e-50,Plod1
5.612051218239815e-55,2.7162941443089537,0.21,0.057,1.1486746433493253e-50,Fbln7
3.5569295447613496e-54,-0.5813971502326212,0.695,0.836,7.28032339221753e-50,Cnpy2
3.9608971036491045e-54,1.9112606690074532,0.223,0.064,8.107164191748987e-50,Got1
4.0331520351888145e-54,1.0907874076530946,0.476,0.247,8.255055585624466e-50,Axl
6.481783775215449e-54,-0.6368331250832953,0.657,0.823,1.3266915031110982e-49,Maged1
6.728867269136905e-54,1.743836951510441,0.252,0.08,1.3772645526469417e-49,Chrdl1
6.953860117959184e-54,0.5796669090270525,0.818,0.658,1.423316088943886e-49,Ndufb1-ps
7.289071437028011e-54,-1.0515851556185758,0.265,0.52,1.4919271417308934e-49,Lamb1
8.635286317711157e-54,-0.4488770705748035,0.94,0.97,1.7674704035091197e-49,Prdx1
9.711895224926491e-54,-0.4817471574414346,0.888,0.945,1.987830714637954e-49,Dad1
9.95503664074129e-54,2.0722023440289457,0.195,0.048,2.0375968996269272e-49,Map6
1.0908877554620839e-53,0.7403774116255322,0.785,0.567,2.2328290578797934e-49,Clec11a
1.1115226643108472e-53,-1.2992558352139851,0.213,0.45,2.2750645893114423e-49,Marcksl1
1.49673607786718e-53,6.043925635821008,0.081,0.001,3.063519404178544e-49,Perp
1.6527990644186332e-53,-0.8587162522063794,0.381,0.619,3.3829491250520585e-49,Mlec
1.6573768198315971e-53,1.1012355195936774,0.709,0.512,3.392318874831313e-49,Acan
1.9768640348998833e-53,-1.0871488399721578,0.379,0.617,4.0462453066330814e-49,Mest
2.02349731082117e-53,-0.6979473399172857,0.544,0.765,4.141694295788771e-49,Dpysl3
2.108677815067732e-53,-0.7004256908486872,0.631,0.794,4.3160417518806346e-49,Serp1
2.2587990329520015e-53,2.2432422407312878,0.179,0.04,4.623309860646157e-49,Pqlc3
2.545920426263364e-53,0.8271497143035751,0.676,0.454,5.210989928475853e-49,Adk
3.266422371979788e-53,1.4054355265344243,0.371,0.167,6.68571331096823e-49,Tob1
1.1989683116581401e-52,1.7097508780654087,0.296,0.114,2.4540483403018812e-48,Abtb2
2.1863821793915466e-52,8.133192973918094,0.074,0,4.4750870447786174e-48,Lgr6
2.7045569579828048e-52,-0.7879632626603259,0.358,0.615,5.535687181599205e-48,Ly6e
8.170497615614622e-52,-1.0385845207231164,0.405,0.613,1.6723374519640008e-47,Cbx3
1.1185093116955416e-51,1.4673104778133708,0.328,0.137,2.2893648591784346e-47,Lrrn4cl
1.3590867709436774e-51,-1.6536496727272105,0.106,0.324,2.781778802767519e-47,Ccbe1
1.3741431793389308e-51,-2.512949259649036,0.024,0.203,2.812596259470924e-47,Cxcl5
1.609555479011469e-51,-1.5396326163680474,0.125,0.349,3.294438154440675e-47,Stard13
1.778252013532845e-51,1.3284165959622667,0.362,0.161,3.639726221299027e-47,Myo1d
2.7442953891459886e-51,-0.5189515239196293,0.813,0.895,5.61702380250401e-47,Fkbp1a
6.184350180106508e-51,-0.38110317181150966,0.979,0.985,1.2658127948642e-46,Ppib
6.621988924672312e-51,-0.647448301744555,0.587,0.766,1.3553886931019288e-46,Timm13
8.042036761153714e-51,2.3122756014194286,0.166,0.036,1.6460440842729421e-46,Adamtsl5
8.940961952477901e-51,-0.5278591177792462,0.888,0.981,1.8300360924331767e-46,Fth1
1.0185171357492658e-50,-1.0408896529978744,0.31,0.539,2.0847008734515974e-46,Lims1
1.0781978399524492e-50,1.6507263455784966,0.255,0.086,2.206855338814673e-46,Col4a2
1.4706862482289744e-50,-0.8017483117163449,0.539,0.722,3.010200612875065e-46,Ppp3ca
1.9797025881261151e-50,-1.295260554231139,0.218,0.444,4.052055257376533e-46,Prmt1
2.376370227012718e-50,2.548230473196938,0.143,0.026,4.863954580649631e-46,Homer2
2.613325897006497e-50,-0.9032211078485302,0.47,0.668,5.348955445992898e-46,S100a16
4.905374930637192e-50,1.8230903144275212,0.241,0.079,1.0040321408028203e-45,Ank
9.69813692446227e-50,-0.5246146612392262,0.533,0.831,1.9850146656989375e-45,Marcks
1.1186850270216154e-49,1.5492948000920481,0.331,0.142,2.2897245133078423e-45,Rasl11b
1.2275878017679592e-49,-0.9187068221884434,0.288,0.54,2.5126267126586587e-45,Sox4
1.3290344437526025e-49,-0.6443809928578716,0.605,0.77,2.7202676994728268e-45,Ppp1ca
1.6251873297224824e-49,6.62433345228273,0.076,0.002,3.326433426475977e-45,Gpha2
