p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.1958030006741966,0.751,0.336,0,0,Calu
0,1.9321918414253316,0.552,0.139,0,0,Sod3
0,0.8998780441056012,0.847,0.434,0,0,Ppic
0,1.9141668004595696,0.573,0.16,0,0,Prrx1
0,2.3641395080372374,0.535,0.123,0,0,Ank2
0,2.2297628142493577,0.528,0.117,0,0,Adamtsl1
0,1.7755993364413625,0.592,0.181,0,0,Cped1
0,2.059075066454591,0.511,0.105,0,0,Prelp
0,4.963048860463327,0.88,0.474,0,0,Gsn
0,1.3699938129662328,0.614,0.208,0,0,Prnp
0,2.538657610798404,0.684,0.278,0,0,Gas6
0,1.2490654112215163,0.641,0.235,0,0,C1qtnf6
0,0.6296893440330911,0.722,0.317,0,0,Sptbn1
0,2.4945514614861866,0.499,0.097,0,0,Zfhx4
0,1.8606472691223954,0.588,0.186,0,0,Ddah2
0,2.183020809905667,0.529,0.128,0,0,Clmp
